assemblyid	accession	length	chrname	chrtype
GCA_002798355.1_Ogye1.0	CM008835.1	29293246	Ogye_chr8	macro
GCA_002798355.1_Ogye1.0	CM008836.1	23365841	Ogye_chr9	micro
GCA_002798355.1_Ogye1.0	CM008837.1	19704242	Ogye_chr10	micro
GCA_002798355.1_Ogye1.0	CM008838.1	19704615	Ogye_chr11	micro
GCA_002798355.1_Ogye1.0	CM008839.1	19908671	Ogye_chr12	micro
GCA_002798355.1_Ogye1.0	CM008840.1	17722247	Ogye_chr13	micro
GCA_002798355.1_Ogye1.0	CM008841.1	15702163	Ogye_chr14	micro
GCA_002798355.1_Ogye1.0	CM008842.1	12680703	Ogye_chr15	micro
GCA_002798355.1_Ogye1.0	CM008843.1	527976	Ogye_chr16	micro
GCA_002798355.1_Ogye1.0	CM008844.1	10250234	Ogye_chr17	micro
GCA_002798355.1_Ogye1.0	CM008845.1	11022915	Ogye_chr18	micro
GCA_002798355.1_Ogye1.0	CM008846.1	9913708	Ogye_chr19	micro
GCA_002798355.1_Ogye1.0	CM008847.1	14087056	Ogye_chr20	micro
GCA_002798355.1_Ogye1.0	CM008848.1	6822757	Ogye_chr21	micro
GCA_002798355.1_Ogye1.0	CM008849.1	4855032	Ogye_chr22	micro
GCA_002798355.1_Ogye1.0	CM008850.1	5959629	Ogye_chr23	micro
GCA_002798355.1_Ogye1.0	CM008851.1	6306241	Ogye_chr24	micro
GCA_002798355.1_Ogye1.0	CM008852.1	2851158	Ogye_chr25	micro
GCA_002798355.1_Ogye1.0	CM008853.1	5428515	Ogye_chr26	micro
GCA_002798355.1_Ogye1.0	CM008854.1	5637119	Ogye_chr27	micro
GCA_002798355.1_Ogye1.0	CM008855.1	5173640	Ogye_chr28	micro
GCA_002798355.1_Ogye1.0	CM008856.1	2151097	Ogye_chrW	micro
GCA_002798355.1_Ogye1.0	CM008857.1	77845949	Ogye_chrZ	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012306.1	311712589	scaffold-ma1	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012307.1	230514893	scaffold-ma2	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012308.1	179897795	scaffold-ma3	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012309.1	103290658	scaffold-ma4	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012310.1	87326383	scaffold-ma5	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012311.1	69529916	scaffold-ma6	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012312.1	61662597	scaffold-ma7	macro
GCA_003400415.2_UTA_CroVir_3.0	CM012313.1	22521304	scaffold-mi1	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012314.1	19978502	scaffold-mi2	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012315.1	16785021	scaffold-mi3	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012316.1	16736725	scaffold-mi4	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012317.1	13784772	scaffold-mi5	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012318.1	13760810	scaffold-mi6	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012319.1	12380204	scaffold-mi7	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012320.1	10971997	scaffold-mi8	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012321.1	6767157	scaffold-mi9	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012322.1	5372825	scaffold-mi10	micro
GCA_003400415.2_UTA_CroVir_3.0	CM012323.1	113984505	scaffold-Z	macro
GCA_009733165.1_Nana_v5	CM019148.1	375026955	ScVE01q_1090;HRSCAF=1250	macro
GCA_009733165.1_Nana_v5	CM019149.1	309871788	ScVE01q_1317;HRSCAF=1506	macro
GCA_009733165.1_Nana_v5	CM019150.1	224088900	ScVE01q_965;HRSCAF=1107	macro
GCA_009733165.1_Nana_v5	CM019151.1	191024962	ScVE01q_3;HRSCAF=25	macro
GCA_009733165.1_Nana_v5	CM019152.1	62775154	ScVE01q_1539;HRSCAF=1758	macro
GCA_009733165.1_Nana_v5	CM019153.1	54008553	ScVE01q_1725;HRSCAF=1971	macro
GCA_009733165.1_Nana_v5	CM019154.1	53796468	ScVE01q_1377;HRSCAF=1575	macro
GCA_009733165.1_Nana_v5	CM019155.1	154607413	ScVE01q_1465;HRSCAF=1671	macro
GCA_009733165.1_Nana_v5	CM019156.1	32026552	ScVE01q_1043;HRSCAF=1199	macro
GCA_009733165.1_Nana_v5	CM019159.1	30264392	ScVE01q_1635;HRSCAF=1871	macro
GCA_009733165.1_Nana_v5	CM019160.1	29932115	ScVE01q_2;HRSCAF=16	macro
GCA_009733165.1_Nana_v5	CM019161.1	25974797	ScVE01q_533;HRSCAF=621	macro
GCA_009733165.1_Nana_v5	CM019162.1	25174854	ScVE01q_1130;HRSCAF=1298	macro
GCA_009733165.1_Nana_v5	CM019163.1	23367679	ScVE01q_807;HRSCAF=927	micro
GCA_009733165.1_Nana_v5	CM019164.1	20042958	ScVE01q_1131;HRSCAF=1299	micro
GCA_009733165.1_Nana_v5	CM019165.1	17750283	ScVE01q_768;HRSCAF=884	micro
GCA_009733165.1_Nana_v5	CM019166.1	15339066	ScVE01q_6;HRSCAF=32	micro
GCA_009733165.1_Nana_v5	CM019157.1	11847348	ScVE01q_1;HRSCAF=4	micro
GCA_009733165.1_Nana_v5	CM019158.1	10772589	ScVE01q_221;HRSCAF=275	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019935.1	354662658	SUPER_1	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019936.2	272817678	SUPER_2	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019937.1	212050211	SUPER_3	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019938.1	146539771	SUPER_4	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019939.1	137794460	SUPER_5	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019940.1	131086080	SUPER_6	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019941.1	127676845	SUPER_7	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019942.1	109335348	SUPER_8	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019943.1	105199287	SUPER_9	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019944.1	86542267	SUPER_10	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019945.1	79983232	SUPER_11	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019946.1	43630627	SUPER_12	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019947.1	41066444	SUPER_13	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019948.1	40016649	SUPER_14	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019949.1	33196092	SUPER_15	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019950.1	26398386	SUPER_16	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019951.1	25425890	SUPER_17	macro
GCA_009764565.2_rDerCor1.pri.v2	CM019952.1	23663727	SUPER_18	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019953.2	20022023	SUPER_19	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019954.2	19364816	SUPER_20	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019955.2	19206221	SUPER_21	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019956.2	18857141	SUPER_22	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019957.1	17225972	SUPER_23	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019958.1	16948695	SUPER_24	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019959.1	16477667	SUPER_25	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019960.1	16471034	SUPER_26	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019961.2	16292121	SUPER_27	micro
GCA_009764565.2_rDerCor1.pri.v2	CM019962.1	6614079	SUPER_28	micro
GCA_009769625.1_bCygOlo1.pri	CM020065.1	209740803	SUPER_scf_1	macro
GCA_009769625.1_bCygOlo1.pri	CM020066.1	161160915	SUPER_scf_4	macro
GCA_009769625.1_bCygOlo1.pri	CM020067.1	121161405	SUPER_scf_2	macro
GCA_009769625.1_bCygOlo1.pri	CM020068.1	77806539	SUPER_scf_3	macro
GCA_009769625.1_bCygOlo1.pri	CM020069.1	66085727	SUPER_scf_5	macro
GCA_009769625.1_bCygOlo1.pri	CM020070.1	40597510	SUPER_scf_6	macro
GCA_009769625.1_bCygOlo1.pri	CM020071.1	38445481	SUPER_scf_7	macro
GCA_009769625.1_bCygOlo1.pri	CM020072.1	33098480	SUPER_scf_8	macro
GCA_009769625.1_bCygOlo1.pri	CM020073.1	26863093	SUPER_scf_9	macro
GCA_009769625.1_bCygOlo1.pri	CM020074.1	22536196	SUPER_scf_10	micro
GCA_009769625.1_bCygOlo1.pri	CM020075.1	22219367	SUPER_scf_11	micro
GCA_009769625.1_bCygOlo1.pri	CM020076.1	21853640	SUPER_scf_12	micro
GCA_009769625.1_bCygOlo1.pri	CM020077.1	21469910	SUPER_scf_13	micro
GCA_009769625.1_bCygOlo1.pri	CM020078.1	20170086	SUPER_scf_14	micro
GCA_009769625.1_bCygOlo1.pri	CM020079.1	18104235	SUPER_scf_15	micro
GCA_009769625.1_bCygOlo1.pri	CM020080.1	16327272	SUPER_scf_16	micro
GCA_009769625.1_bCygOlo1.pri	CM020081.1	15594031	SUPER_scf_17	micro
GCA_009769625.1_bCygOlo1.pri	CM020082.1	13182687	SUPER_scf_18	micro
GCA_009769625.1_bCygOlo1.pri	CM020083.1	12196948	SUPER_scf_19	micro
GCA_009769625.1_bCygOlo1.pri	CM020084.1	12179101	SUPER_scf_20	micro
GCA_009769625.1_bCygOlo1.pri	CM020085.1	9107981	SUPER_scf_23	micro
GCA_009769625.1_bCygOlo1.pri	CM020086.1	7827656	SUPER_scf_24	micro
GCA_009769625.1_bCygOlo1.pri	CM020087.1	7743145	SUPER_scf_25	micro
GCA_009769625.1_bCygOlo1.pri	CM020088.1	7030754	SUPER_scf_26	micro
GCA_009769625.1_bCygOlo1.pri	CM020089.1	6682846	SUPER_scf_28	micro
GCA_009769625.1_bCygOlo1.pri	CM020090.1	5979446	SUPER_scf_27	micro
GCA_009769625.1_bCygOlo1.pri	CM020091.1	5774404	SUPER_scf_31	micro
GCA_009769625.1_bCygOlo1.pri	CM020092.1	3067530	SUPER_scf_38	micro
GCA_009769625.1_bCygOlo1.pri	CM020093.1	2501788	SUPER_scf_42	micro
GCA_009769625.1_bCygOlo1.pri	CM020094.1	81035313	SUPER_scf_60	macro
GCA_009769625.1_bCygOlo1.pri	CM020095.1	4360214	SUPER_scf_80	micro
GCA_013407035.1_ASM1340703v1	CM023912.1	117486409	chr1	macro
GCA_013407035.1_ASM1340703v1	CM023913.1	154487646	chr2	macro
GCA_013407035.1_ASM1340703v1	CM023914.1	110910713	chr3	macro
GCA_013407035.1_ASM1340703v1	CM023915.1	73157438	chr4	macro
GCA_013407035.1_ASM1340703v1	CM023916.1	64157287	chr5	macro
GCA_013407035.1_ASM1340703v1	CM023917.1	36532927	chr6	macro
GCA_013407035.1_ASM1340703v1	CM023918.1	38277055	chr7	macro
GCA_013407035.1_ASM1340703v1	CM023919.1	32060782	chr8	macro
GCA_013407035.1_ASM1340703v1	CM023920.1	26026359	chr9	macro
GCA_013407035.1_ASM1340703v1	CM023921.1	20701202	chr10	micro
GCA_013407035.1_ASM1340703v1	CM023922.1	20977607	chr11	micro
GCA_013407035.1_ASM1340703v1	CM023923.1	21032122	chr12	micro
GCA_013407035.1_ASM1340703v1	CM023924.1	19121564	chr13	micro
GCA_013407035.1_ASM1340703v1	CM023925.1	16609512	chr14	micro
GCA_013407035.1_ASM1340703v1	CM023926.1	11237182	chr15	micro
GCA_013407035.1_ASM1340703v1	CM023927.1	11032243	chr17	micro
GCA_013407035.1_ASM1340703v1	CM023928.1	11176533	chr18	micro
GCA_013407035.1_ASM1340703v1	CM023929.1	11217504	chr19	micro
GCA_013407035.1_ASM1340703v1	CM023930.1	14997001	chr20	micro
GCA_013407035.1_ASM1340703v1	CM023931.1	6847630	chr21	micro
GCA_013407035.1_ASM1340703v1	CM023932.1	4839898	chr22	micro
GCA_013407035.1_ASM1340703v1	CM023933.1	8585400	chr23	micro
GCA_013407035.1_ASM1340703v1	CM023934.1	6907201	chr24	micro
GCA_013407035.1_ASM1340703v1	CM023935.1	6615938	chr26	micro
GCA_013407035.1_ASM1340703v1	CM023936.1	4573168	chr27	micro
GCA_013407035.1_ASM1340703v1	CM023937.1	5735232	chr28	micro
GCA_013407035.1_ASM1340703v1	CM023938.1	79982351	chrZ	macro
GCA_013407035.1_ASM1340703v1	CM023939.1	73777161	chr1A	macro
GCA_013407035.1_ASM1340703v1	CM023940.1	20605299	chr4A	micro
GCA_014706415.1_LU_Pmuni_1.1	CM025938.1	123151900	Super-Scaffold_100001	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025939.1	111766777	Super-Scaffold_100002	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025940.1	112813751	Super-Scaffold_6778	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025941.1	91547263	Super-Scaffold_100004	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025942.1	84076254	Super-Scaffold_100006	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025943.1	90552724	Super-Scaffold_454	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025944.1	75510584	Super-Scaffold_100007	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025945.1	81520716	Super-Scaffold_1125	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025946.1	63563257	Super-Scaffold_100009	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025947.1	57541797	Super-Scaffold_100010	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025948.1	50891059	Super-Scaffold_100011	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025949.1	48936963	Super-Scaffold_100013	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025950.1	39762503	Super-Scaffold_100017	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025951.1	37955890	Super-Scaffold_100018	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025952.1	46456157	Super-Scaffold_365	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025953.1	43229300	Super-Scaffold_100016	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025954.1	42153725	Super-Scaffold_100015	macro
GCA_014706415.1_LU_Pmuni_1.1	CM025955.1	10986872	Super-Scaffold_100044	micro
GCA_014706415.1_LU_Pmuni_1.1	CM025956.1	51203085	Super-Scaffold_4251	macro
GCA_015237465.1_rCheMyd1.pri	CM026898.1	348265484	SUPER_1	macro
GCA_015237465.1_rCheMyd1.pri	CM026899.1	262513884	SUPER_2	macro
GCA_015237465.1_rCheMyd1.pri	CM026900.1	204120564	SUPER_3	macro
GCA_015237465.1_rCheMyd1.pri	CM026901.1	142324156	SUPER_4	macro
GCA_015237465.1_rCheMyd1.pri	CM026902.1	134428053	SUPER_5	macro
GCA_015237465.1_rCheMyd1.pri	CM026903.1	133272604	SUPER_6	macro
GCA_015237465.1_rCheMyd1.pri	CM026904.1	123872898	SUPER_7	macro
GCA_015237465.1_rCheMyd1.pri	CM026905.1	106505537	SUPER_8	macro
GCA_015237465.1_rCheMyd1.pri	CM026906.1	101620591	SUPER_9	macro
GCA_015237465.1_rCheMyd1.pri	CM026907.1	84054250	SUPER_10	macro
GCA_015237465.1_rCheMyd1.pri	CM026908.1	79522289	SUPER_11	macro
GCA_015237465.1_rCheMyd1.pri	CM026909.1	44456234	SUPER_12	macro
GCA_015237465.1_rCheMyd1.pri	CM026910.1	42953438	SUPER_13	macro
GCA_015237465.1_rCheMyd1.pri	CM026911.1	42626581	SUPER_14	macro
GCA_015237465.1_rCheMyd1.pri	CM026912.1	33324608	SUPER_15	macro
GCA_015237465.1_rCheMyd1.pri	CM026913.1	25690524	SUPER_16	macro
GCA_015237465.1_rCheMyd1.pri	CM026914.1	25202864	SUPER_17	macro
GCA_015237465.1_rCheMyd1.pri	CM026915.1	23386534	SUPER_18	micro
GCA_015237465.1_rCheMyd1.pri	CM026916.1	19769559	SUPER_19	micro
GCA_015237465.1_rCheMyd1.pri	CM026917.1	19256569	SUPER_20	micro
GCA_015237465.1_rCheMyd1.pri	CM026918.1	19202859	SUPER_21	micro
GCA_015237465.1_rCheMyd1.pri	CM026919.1	11152253	SUPER_22	micro
GCA_015237465.1_rCheMyd1.pri	CM026920.1	9977174	SUPER_23	micro
GCA_015237465.1_rCheMyd1.pri	CM026921.1	18854909	SUPER_24	micro
GCA_015237465.1_rCheMyd1.pri	CM026922.1	16433863	SUPER_25	micro
GCA_015237465.1_rCheMyd1.pri	CM026923.1	16225734	SUPER_26	micro
GCA_015237465.1_rCheMyd1.pri	CM026924.1	16135183	SUPER_27	micro
GCA_015237465.1_rCheMyd1.pri	CM026925.1	7864902	SUPER_28	micro
GCF_000002315.6_GRCg6a	NC_006088.5	197608386	1	macro
GCF_000002315.6_GRCg6a	NC_006089.5	149682049	2	macro
GCF_000002315.6_GRCg6a	NC_006090.5	110838418	3	macro
GCF_000002315.6_GRCg6a	NC_006091.5	91315245	4	macro
GCF_000002315.6_GRCg6a	NC_006092.5	59809098	5	macro
GCF_000002315.6_GRCg6a	NC_006093.5	36374701	6	macro
GCF_000002315.6_GRCg6a	NC_006094.5	36742308	7	macro
GCF_000002315.6_GRCg6a	NC_006095.5	30219446	8	macro
GCF_000002315.6_GRCg6a	NC_006096.5	24153086	9	micro
GCF_000002315.6_GRCg6a	NC_006097.5	21119840	10	micro
GCF_000002315.6_GRCg6a	NC_006098.5	20200042	11	micro
GCF_000002315.6_GRCg6a	NC_006099.5	20387278	12	micro
GCF_000002315.6_GRCg6a	NC_006100.5	19166714	13	micro
GCF_000002315.6_GRCg6a	NC_006101.5	16219308	14	micro
GCF_000002315.6_GRCg6a	NC_006102.5	13062184	15	micro
GCF_000002315.6_GRCg6a	NC_006103.5	2844601	16	micro
GCF_000002315.6_GRCg6a	NC_006104.5	10762512	17	micro
GCF_000002315.6_GRCg6a	NC_006105.5	11373140	18	micro
GCF_000002315.6_GRCg6a	NC_006106.5	10323212	19	micro
GCF_000002315.6_GRCg6a	NC_006107.5	13897287	20	micro
GCF_000002315.6_GRCg6a	NC_006108.5	6844979	21	micro
GCF_000002315.6_GRCg6a	NC_006109.5	5459462	22	micro
GCF_000002315.6_GRCg6a	NC_006110.5	6149580	23	micro
GCF_000002315.6_GRCg6a	NC_006111.5	6491222	24	micro
GCF_000002315.6_GRCg6a	NC_006112.4	3980610	25	micro
GCF_000002315.6_GRCg6a	NC_006113.5	6055710	26	micro
GCF_000002315.6_GRCg6a	NC_006114.5	8080432	27	micro
GCF_000002315.6_GRCg6a	NC_006115.5	5116882	28	micro
GCF_000002315.6_GRCg6a	NC_028739.2	1818525	30	micro
GCF_000002315.6_GRCg6a	NC_028740.2	6153034	31	micro
GCF_000002315.6_GRCg6a	NC_006119.4	725831	32	micro
GCF_000002315.6_GRCg6a	NC_008465.4	7821666	33	micro
GCF_000002315.6_GRCg6a	NC_006126.5	6813114	W	micro
GCF_000002315.6_GRCg6a	NC_006127.5	82529921	Z	macro
GCF_000090745.1_AnoCar2.0	NC_014776.1	263920458	chr1	macro
GCF_000090745.1_AnoCar2.0	NC_014777.1	199619895	chr2	macro
GCF_000090745.1_AnoCar2.0	NC_014778.1	204416410	chr3	macro
GCF_000090745.1_AnoCar2.0	NC_014779.1	156502444	chr4	macro
GCF_000090745.1_AnoCar2.0	NC_014780.1	150641573	chr5	macro
GCF_000090745.1_AnoCar2.0	NC_014781.1	80741955	chr6	macro
GCF_000090745.1_AnoCar2.0	NC_014782.1	7025928	LGa	micro
GCF_000090745.1_AnoCar2.0	NC_014783.1	3271537	LGb	micro
GCF_000090745.1_AnoCar2.0	NC_014784.1	9478905	LGc	micro
GCF_000090745.1_AnoCar2.0	NC_014785.1	1094478	LGd	micro
GCF_000090745.1_AnoCar2.0	NC_014786.1	4257874	LGf	micro
GCF_000090745.1_AnoCar2.0	NC_014787.1	424765	LGg	micro
GCF_000090745.1_AnoCar2.0	NC_014788.1	248369	LGh	micro
GCF_004115215.1_mOrnAna1.p.v1	NC_041728.1	186506016	Super_Scaffold_1	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041729.1	171719663	Super_Scaffold_2	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041730.1	141987082	Super_Scaffold_3	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041731.1	136094389	Super_Scaffold_4	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041732.1	110293030	Super_Scaffold_5	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041733.1	51493492	Super_Scaffold_6	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041734.1	83338043	Super_Scaffold_7	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041735.1	70949814	Super_Scaffold_8	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041736.1	61861223	Super_Scaffold_9	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041737.1	59444696	Super_Scaffold_10	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041738.1	63506031	Super_Scaffold_11	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041739.1	60456049	Super_Scaffold_12	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041740.1	42294642	Super_Scaffold_13	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041741.1	52889406	Super_Scaffold_14	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041742.1	26375019	Super_Scaffold_15	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041743.1	46397275	Super_Scaffold_16	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041744.1	45536670	Super_Scaffold_17	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041745.1	44684501	Super_Scaffold_18	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041746.1	35120541	Super_Scaffold_19	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041747.1	30535534	Super_Scaffold_20	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041748.1	24514859	Super_Scaffold_21	micro
GCF_004115215.1_mOrnAna1.p.v1	NC_041749.1	125040914	Super_Scaffold_X1	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041750.1	29662106	Super_Scaffold_X2	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041751.1	33863336	Super_Scaffold_X3	macro
GCF_004115215.1_mOrnAna1.p.v1	NC_041752.1	8639456	Super_Scaffold_X4	micro
GCF_004115215.1_mOrnAna1.p.v1	NC_041753.1	70139320	Super_Scaffold_X5	macro
GCF_004329235.1_PodMur_1.0	NC_041312.1	140209921	chrom01	macro
GCF_004329235.1_PodMur_1.0	NC_041313.1	128038163	chrom02	macro
GCF_004329235.1_PodMur_1.0	NC_041314.1	124954059	chrom03	macro
GCF_004329235.1_PodMur_1.0	NC_041315.1	107526675	chrom04	macro
GCF_004329235.1_PodMur_1.0	NC_041316.1	100393251	chrom05	macro
GCF_004329235.1_PodMur_1.0	NC_041317.1	99678440	chrom06	macro
GCF_004329235.1_PodMur_1.0	NC_041318.1	92398148	chrom07	macro
GCF_004329235.1_PodMur_1.0	NC_041319.1	90342841	chrom08	macro
GCF_004329235.1_PodMur_1.0	NC_041320.1	79135106	chrom09	macro
GCF_004329235.1_PodMur_1.0	NC_041321.1	76280819	chrom10	macro
GCF_004329235.1_PodMur_1.0	NC_041322.1	65231656	chrom11	macro
GCF_004329235.1_PodMur_1.0	NC_041323.1	60949594	chrom12	macro
GCF_004329235.1_PodMur_1.0	NC_041324.1	56546671	chrom13	macro
GCF_004329235.1_PodMur_1.0	NC_041325.1	54988359	chrom14	macro
GCF_004329235.1_PodMur_1.0	NC_041326.1	46441056	chrom15	macro
GCF_004329235.1_PodMur_1.0	NC_041327.1	43659005	chrom16	macro
GCF_004329235.1_PodMur_1.0	NC_041328.1	42925489	chrom17	macro
GCF_004329235.1_PodMur_1.0	NC_041329.1	14237138	chrom18	micro
GCF_004329235.1_PodMur_1.0	NC_041330.1	50871175	chromZ	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044322.1	370335144	scaffold_1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044323.1	299447175	scaffold_3	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044324.1	225143049	scaffold_2	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044325.1	155918640	scaffold_4	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044326.1	147425149	scaffold_4_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044327.1	137797752	scaffold_5_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044328.1	131611970	scaffold_6_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044329.1	113972862	scaffold_9_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044330.1	108927930	scaffold_10_arrow_ctg1	macro
GCF_007399415.2_rGopEvg1_v1.p	NC_044331.1	86493507	scaffold_5	macro
