#species	uniprotspeciescode	Common name	fasta	cds	gff	assemblyreport	ProcessingOrder	NCBITaxID	genomelength	contigs	gc	ns	meanlen	medianlen	longestlen	shortestlen	n50	n90	Chromosomes	Linkage Group	Mitochondrion	Unachored	PercentUnanchored	karyotype_2N	Assembled_N	Reference	phyloorder	figureorder	reduced	tegu_chick	lizard	snake	bird	turtle	all	strange	reduced_good	playing	reptile
Lacerta agilis	LACAG	Sand lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_assembly_report.txt	11	80427	1391404169	29	28.54975246	3491078	47979454.1	47440541	133750839	7832	86565987	43910048	1391167551	NA	36183	219528	0.015777637	38	19	http://www.genomesize.com/index.php	5	2	1	0	3	0	0	0	3	0	0	0	2
Thamnophis elegans	THAEL	Western terrestrial garter snake	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_assembly_report.txt	12	35005	1672190305	365	22.31968711	38185703	4581343.301	44865	186725308	616	100851885	49402056	1644957398	NA	NA	27232907	1.628577018	36	18	https://www.jstor.org/stable/1442486?seq=2#metadata_info_tab_contents	2	7	0	0	0	1	0	0	5	0	0	0	6
Podarcis muralis	PODMU	Common wall lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_assembly_report.txt	13	64176	1511020169	2161	27.86692075	2917502	699222.6603	14995	140209921	220	92398148	46441056	1474807566	NA	17311	36195292	2.395448282	38	19	http://www.genomesize.com/index.php	7	3	2	0	2	0	0	0	2	0	0	0	3
Zootoca vivipara	ZOOVI	Common lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_assembly_report.txt	14	8524	1464300591	25252	27.53668089	43421287	57987.50954	1143	131769443	253	92810032	24898947	NA	1335271442	17046	129012103	8.810595696	36	19	http://www.genomesize.com/index.php	6	1	0	0	1	0	0	0	1	0	0	0	1
Crotalus viridis	CROVV	Prairie rattlesnake	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_assembly_report.txt	15	8742	1340198908	7043	25.07803991	82714142	190288.0744	1351	311712589	780	179897795	16785021	1296978653	NA	NA	43220255	3.224913462	36	19	https://www.jstor.org/stable/1442486?seq=1#metadata_info_tab_contents	3	6	5	0	0	3	0	0	7	0	0	0	7
Calypte anna	CALAN	Anna's hummingbird	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_assembly_report.txt	16	9244	1059687259	159	33.37784832	16096788	6664699.742	51633	197551010	4777	74081004	15116875	1050099696	NA	18981	9587563	0.904754013	74	37	https://onlinelibrary.wiley.com/doi/full/10.1111/1755-0998.12933	16	13	0	0	0	0	4	0	12	0	0	0	0
Falco rusticolus	FALRU	Gyrfalcon	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_assembly_report.txt	17	120794	1195847496	133	35.45941246	5345814	8991334.556	41141	126922963	4121	91094845	30790089	1191259542	NA	36706	4569736	0.382139498	52	23	https://doi.org/10.1093/oxfordjournals.jhered.a110422	14	0	0	0	0	0	0	0	14	2	0	0	0
Aquila chrysaetos chrysaetos	AQUCH	Golden eagle	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/995/GCA_900496995.3_bAquChr1.3/GCA_900496995.3_bAquChr1.3_genomic.fna.gz	NA	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/995/GCA_900496995.3_bAquChr1.3/GCA_900496995.3_bAquChr1.3_assembly_report.txt	18	223781	1203473116	143	35.31615358	4639807	8415895.916	55537	88216475	60	46934974	24756580	1191584818	NA	18265	11870033	0.986329731	62	27	http://www.genomesize.com/index.php	15	0	0	0	0	0	0	0	15	1	0	0	0
Dromaius novaehollandiae	DRONO	Emu	https://www.dropbox.com/s/bge457t6l9a5uqp/droNov1_HiC.fasta.gz	NA	NA	NA	19	8790	1192718721	1863	35.76561669	12241076	640214.0209	1839	214659357	632	82460724	17562204									9	9	6	0	0	0	1	0	9	3	3	1	0
Salvator merianae	SAMER	Argentine black and white tegu	https://www.dropbox.com/s/x6vut6u55osw7pt/HLtupMer6_HiC.fasta.gz	NA	NA	NA	20	96440	2067734641	4375	28.40367	33901600	472625.0608	8262	414523068	751	314194259	18916873									8	4	3	1	4	0	0	0	4	0	1	0	4
Python bivittatus	PYTBI	Burmese python	https://www.dropbox.com/s/rzucyl0nkjnt12a/Python_molurus_bivittatus-5.0.2_HiC.fasta.gz	NA	NA	NA	21	176946	1440184814	29190	29.2327077	55652004	49338.29442	328	317910269	200	196651090	22221336									4	8	4	0	0	4	0	0	8	0	2	0	8
Gymnogyps californianus	GYMCA	California condor	https://www.dropbox.com/s/l282d4ys5mis1ju/gc_PacBio_HiC.fasta.gz	NA	NA	NA	22	33616	1240179868	542	42.14539128	316000	2288154.738	36504	219006665	2000	85346818	13056196									13	0	0	0	0	0	0	0	0	0	0	0	0
Alligator mississippiensis	ALLMI	American alligator	https://www.dropbox.com/s/xdoke3xiyzxbkfb/ASM28112v4_HiC.fasta.gz	NA	NA	NA	23	8496	2162370704	5859	30.48161071	47914794	369068.2205	2369	446151378	626	240791973	56766657									17	14	0	0	0	0	0	0	16	4	0	0	0
Alligator sinensis	ALLSI	Chinese alligator	https://www.dropbox.com/s/2j1fqt0zdup704w/ASM45574v1_HiC.fasta.gz	NA	NA	NA	24	38654	2271673216	7227	29.47967922	73070767	314331.426	414	469875877	200	253885816	59623880									18	0	0	0	0	0	0	0	0	0	0	0	0
Homo sapiens	HUMAN	Human	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.28_GRCh38.p13/GRCh38_major_release_seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz	NA	NA	NA	25	9606	3099922541	195	38.69575311	165045996	15897038.67	32032	248956422	970	145138636	80373285						42			24	0	0	0	0	0	0	0	0	0	0	0	0
Sarcophilus harrisii	SARHA	Tasmanian devil	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11/GCF_902635505.1_mSarHar1.11_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11/GCF_902635505.1_mSarHar1.11_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11/GCF_902635505.1_mSarHar1.11_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/635/505/GCF_902635505.1_mSarHar1.11/GCF_902635505.1_mSarHar1.11_assembly_report.txt	26	9305	3086674442	106	23.38242337	46771	29119570.21	50030	716413629	2679	611347268	254895979						14			25	0	0	0	0	0	0	0	0	0	0	0	0
Branchiostoma floridae	BRAFL	Florida lancelet	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK/GCF_000003815.2_Bfl_VNyyK_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK/GCF_000003815.2_Bfl_VNyyK_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK/GCF_000003815.2_Bfl_VNyyK_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/815/GCF_000003815.2_Bfl_VNyyK/GCF_000003815.2_Bfl_VNyyK_assembly_report.txt	27	7739	513460931	432	29.8488503694938	26332165	1188566.96990741	21766	35335272	510	25441410	18554083
