#species	uniprotspeciescode	Common name	fasta	cds	gff	assemblyreport	ProcessingOrder	NCBITaxID	genomelength	contigs	gc	ns	meanlen	medianlen	longestlen	shortestlen	n50	n90	Chromosomes	Linkage Group	Mitochondrion	Unachored	PercentUnanchored	karyotype
Chelonia mydas	CHEMY	Green sea turtle	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/237/465/GCA_015237465.1_rCheMyd1.pri/GCA_015237465.1_rCheMyd1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/237/465/GCA_015237465.1_rCheMyd1.pri/GCA_015237465.1_rCheMyd1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/237/465/GCA_015237465.1_rCheMyd1.pri/GCA_015237465.1_rCheMyd1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/237/465/GCA_015237465.1_rCheMyd1.pri/GCA_015237465.1_rCheMyd1.pri_assembly_report.txt	11	8469	2134576752	98	30.0343339	11959915	21781395.43	73766	348265484	3063	134428053	25202864	2129671022	NA	16497	4905730	0.229822141	
Lacerta agilis	LACAG	Sand lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/819/535/GCF_009819535.1_rLacAgi1.pri/GCF_009819535.1_rLacAgi1.pri_assembly_report.txt	12	80427	1391404169	29	28.54975246	3491078	47979454.1	47440541	133750839	7832	86565987	43910048	1391167551	NA	36183	219528	0.015777637	
Thamnophis elegans	THAEL	Western terrestrial garter snake	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/769/535/GCF_009769535.1_rThaEle1.pri/GCF_009769535.1_rThaEle1.pri_assembly_report.txt	13	35005	1672190305	365	22.31968711	38185703	4581343.301	44865	186725308	616	100851885	49402056	1644957398	NA	NA	27232907	1.628577018	
Podarcis muralis	PODMUR	Common wall lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/329/235/GCF_004329235.1_PodMur_1.0/GCF_004329235.1_PodMur_1.0_assembly_report.txt	14	64176	1511020169	2161	27.86692075	2917502	699222.6603	14995	140209921	220	92398148	46441056	1474807566	NA	17311	36195292	2.395448282	
Zootoca vivipara	ZOOVI	Common lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/800/845/GCF_011800845.1_UG_Zviv_1/GCF_011800845.1_UG_Zviv_1_assembly_report.txt	15	8524	1464300591	25252	27.53668089	43421287	57987.50954	1143	131769443	253	92810032	24898947	NA	1335271442	17046	129012103	8.810595696	
Anolis carolinensis	ANOCA	Green anole	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.1_AnoCar2.0/GCF_000090745.1_AnoCar2.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.1_AnoCar2.0/GCF_000090745.1_AnoCar2.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.1_AnoCar2.0/GCF_000090745.1_AnoCar2.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.1_AnoCar2.0/GCF_000090745.1_AnoCar2.0_assembly_report.txt	16	28377	1799143587	6457	22.21738348	97789817	278634.5961	10682	263920458	5000	150641573	408349	1055842735	25801856	17223	717481773	40.45969983	
Crotalus viridis	CROVV	Prairie rattlesnake	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_assembly_report.txt	17	8742	1340198908	7043	25.07803991	82714142	190288.0744	1351	311712589	780	179897795	16785021	1296978653	NA	NA	43220255	3.224913462	
Podarcis muralis	PODMUG	Common wall lizard	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/415/GCA_014706415.1_LU_Pmuni_1.1/GCA_014706415.1_LU_Pmuni_1.1_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/415/GCA_014706415.1_LU_Pmuni_1.1/GCA_014706415.1_LU_Pmuni_1.1_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/415/GCA_014706415.1_LU_Pmuni_1.1/GCA_014706415.1_LU_Pmuni_1.1_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/415/GCA_014706415.1_LU_Pmuni_1.1/GCA_014706415.1_LU_Pmuni_1.1_assembly_report.txt	18	64176	1786136138	3561	23.42334165	259714253	501582.7402	18929	123151900	203	51203085	1414250	1291603157	NA	NA	494532981	27.68730616	
Calypte anna	CALAN	Anna's hummingbird	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/957/555/GCF_003957555.1_bCalAnn1_v1.p/GCF_003957555.1_bCalAnn1_v1.p_assembly_report.txt	19	9244	1059687259	159	33.37784832	16096788	6664699.742	51633	197551010	4777	74081004	15116875	1050099696	NA	18981	9587563	0.904754013	
Falco rusticolus	FALRU	Gyrfalcon	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_cds_from_genomic.fna.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_genomic.gff.gz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/220/075/GCF_015220075.1_bFalRus1.pri/GCF_015220075.1_bFalRus1.pri_assembly_report.txt	20	120794	1195847496	133	35.45941246	5345814	8991334.556	41141	126922963	4121	91094845	30790089	1191259542	NA	36706	4569736	0.382139498	
Aquila chrysaetos chrysaetos	AQUCH	Golden eagle	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/995/GCA_900496995.3_bAquChr1.3/GCA_900496995.3_bAquChr1.3_genomic.fna.gz	NA	NA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/496/995/GCA_900496995.3_bAquChr1.3/GCA_900496995.3_bAquChr1.3_assembly_report.txt	21	223781	1203473116	143	35.31615358	4639807	8415895.916	55537	88216475	60	46934974	24756580	1191584818	NA	18265	11870033	0.986329731	
