Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name	docid	chrname	seqid	speciescode	genomefa
16	assembled-molecule	16	Chromosome	CM028497.1	=	NC_052547.1	Primary Assembly	2706039	na	9158331	chr16	NC_052547.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
17	assembled-molecule	17	Chromosome	CM028498.1	=	NC_052548.1	Primary Assembly	11092391	na	9158331	chr17	NC_052548.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
18	assembled-molecule	18	Chromosome	CM028499.1	=	NC_052549.1	Primary Assembly	11623896	na	9158331	chr18	NC_052549.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
19	assembled-molecule	19	Chromosome	CM028500.1	=	NC_052550.1	Primary Assembly	10455293	na	9158331	chr19	NC_052550.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
20	assembled-molecule	20	Chromosome	CM028501.1	=	NC_052551.1	Primary Assembly	14265659	na	9158331	chr20	NC_052551.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
21	assembled-molecule	21	Chromosome	CM028502.1	=	NC_052552.1	Primary Assembly	6970754	na	9158331	chr21	NC_052552.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
22	assembled-molecule	22	Chromosome	CM028503.1	=	NC_052553.1	Primary Assembly	4686657	na	9158331	chr22	NC_052553.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
23	assembled-molecule	23	Chromosome	CM028504.1	=	NC_052554.1	Primary Assembly	6253421	na	9158331	chr23	NC_052554.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
24	assembled-molecule	24	Chromosome	CM028505.1	=	NC_052555.1	Primary Assembly	6478339	na	9158331	chr24	NC_052555.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
25	assembled-molecule	25	Chromosome	CM028506.1	=	NC_052556.1	Primary Assembly	3067737	na	9158331	chr25	NC_052556.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
26	assembled-molecule	26	Chromosome	CM028507.1	=	NC_052557.1	Primary Assembly	5349051	na	9158331	chr26	NC_052557.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
27	assembled-molecule	27	Chromosome	CM028508.1	=	NC_052558.1	Primary Assembly	5228753	na	9158331	chr27	NC_052558.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
28	assembled-molecule	28	Chromosome	CM028509.1	=	NC_052559.1	Primary Assembly	5437364	na	9158331	chr28	NC_052559.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
29	assembled-molecule	29	Chromosome	CM028510.1	=	NC_052560.1	Primary Assembly	726478	na	9158331	chr29	NC_052560.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
30	assembled-molecule	30	Chromosome	CM028511.1	=	NC_052561.1	Primary Assembly	755666	na	9158331	chr30	NC_052561.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
31	assembled-molecule	31	Chromosome	CM028512.1	=	NC_052562.1	Primary Assembly	2457334	na	9158331	chr31	NC_052562.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
32	assembled-molecule	32	Chromosome	CM028513.1	=	NC_052563.1	Primary Assembly	125424	na	9158331	chr32	NC_052563.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
33	assembled-molecule	33	Chromosome	CM028514.1	=	NC_052564.1	Primary Assembly	3839931	na	9158331	chr33	NC_052564.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
34	assembled-molecule	34	Chromosome	CM028515.1	=	NC_052565.1	Primary Assembly	3469343	na	9158331	chr34	NC_052565.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
35	assembled-molecule	35	Chromosome	CM028516.1	=	NC_052566.1	Primary Assembly	554126	na	9158331	chr35	NC_052566.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
36	assembled-molecule	36	Chromosome	CM028517.1	=	NC_052567.1	Primary Assembly	358375	na	9158331	chr36	NC_052567.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
37	assembled-molecule	37	Chromosome	CM028518.1	=	NC_052568.1	Primary Assembly	157853	na	9158331	chr37	NC_052568.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
38	assembled-molecule	38	Chromosome	CM028519.1	=	NC_052569.1	Primary Assembly	667312	na	9158331	chr38	NC_052569.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
39	assembled-molecule	39	Chromosome	CM028520.1	=	NC_052570.1	Primary Assembly	177356	na	9158331	chr39	NC_052570.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
W	assembled-molecule	W	Chromosome	CM028521.1	=	NC_052571.1	Primary Assembly	9109940	na	9158331	chrW	NC_052571.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
Z	assembled-molecule	Z	Chromosome	CM028522.1	=	NC_052572.1	Primary Assembly	86044486	na	9158331	chrZ	NC_052572.1	CHICK	GCF_016699485.2_bGalGal1.mat.broiler.GRCg7b_genomic.fna
SUPER_1	assembled-molecule	1	Chromosome	CM012081.2	=	NC_044211.2	Primary Assembly	114020016	na	10005361	chrSUPER_1	NC_044211.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_1A	assembled-molecule	1A	Chromosome	CM012082.2	=	NC_044212.2	Primary Assembly	71569005	na	10005361	chrSUPER_1A	NC_044212.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_2	assembled-molecule	2	Chromosome	CM012083.2	=	NC_044213.2	Primary Assembly	151653088	na	10005361	chrSUPER_2	NC_044213.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_3	assembled-molecule	3	Chromosome	CM012084.2	=	NC_044214.2	Primary Assembly	112598992	na	10005361	chrSUPER_3	NC_044214.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_4	assembled-molecule	4	Chromosome	CM012085.2	=	NC_044215.2	Primary Assembly	70982421	na	10005361	chrSUPER_4	NC_044215.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_4A	assembled-molecule	4A	Chromosome	CM012086.2	=	NC_044216.2	Primary Assembly	19491698	na	10005361	chrSUPER_4A	NC_044216.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_5	assembled-molecule	5	Chromosome	CM012087.2	=	NC_044217.2	Primary Assembly	61663524	na	10005361	chrSUPER_5	NC_044217.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_6	assembled-molecule	6	Chromosome	CM012088.2	=	NC_044218.2	Primary Assembly	35592820	na	10005361	chrSUPER_6	NC_044218.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_7	assembled-molecule	7	Chromosome	CM012089.2	=	NC_044219.2	Primary Assembly	37979234	na	10005361	chrSUPER_7	NC_044219.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_8	assembled-molecule	8	Chromosome	CM012090.2	=	NC_044220.2	Primary Assembly	31251066	na	10005361	chrSUPER_8	NC_044220.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_9	assembled-molecule	9	Chromosome	CM012091.2	=	NC_044221.2	Primary Assembly	25529500	na	10005361	chrSUPER_9	NC_044221.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_10	assembled-molecule	10	Chromosome	CM012092.2	=	NC_044222.2	Primary Assembly	20543327	na	10005361	chrSUPER_10	NC_044222.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_11	assembled-molecule	11	Chromosome	CM012093.2	=	NC_044223.2	Primary Assembly	21108237	na	10005361	chrSUPER_11	NC_044223.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_12	assembled-molecule	12	Chromosome	CM012094.2	=	NC_044224.2	Primary Assembly	20384687	na	10005361	chrSUPER_12	NC_044224.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_13	assembled-molecule	13	Chromosome	CM012095.2	=	NC_044225.2	Primary Assembly	18052104	na	10005361	chrSUPER_13	NC_044225.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_14	assembled-molecule	14	Chromosome	CM012096.2	=	NC_044226.2	Primary Assembly	16340488	na	10005361	chrSUPER_14	NC_044226.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_15	assembled-molecule	15	Chromosome	CM012097.2	=	NC_044227.2	Primary Assembly	13771869	na	10005361	chrSUPER_15	NC_044227.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_16	assembled-molecule	16	Chromosome	CM012098.2	=	NC_044228.2	Primary Assembly	1095113	na	10005361	chrSUPER_16	NC_044228.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_17	assembled-molecule	17	Chromosome	CM012099.2	=	NC_044229.2	Primary Assembly	11257394	na	10005361	chrSUPER_17	NC_044229.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_18	assembled-molecule	18	Chromosome	CM012100.2	=	NC_044230.2	Primary Assembly	11152170	na	10005361	chrSUPER_18	NC_044230.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_19	assembled-molecule	19	Chromosome	CM012101.2	=	NC_044231.2	Primary Assembly	8335140	na	10005361	chrSUPER_19	NC_044231.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_20	assembled-molecule	20	Chromosome	CM012102.2	=	NC_044232.2	Primary Assembly	14749488	na	10005361	chrSUPER_20	NC_044232.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_21	assembled-molecule	21	Chromosome	CM012103.2	=	NC_044233.2	Primary Assembly	7924511	na	10005361	chrSUPER_21	NC_044233.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_22	assembled-molecule	22	Chromosome	CM012104.2	=	NC_044234.2	Primary Assembly	4608043	na	10005361	chrSUPER_22	NC_044234.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_23	assembled-molecule	23	Chromosome	CM012105.2	=	NC_044235.2	Primary Assembly	6804446	na	10005361	chrSUPER_23	NC_044235.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_24	assembled-molecule	24	Chromosome	CM012106.2	=	NC_044236.2	Primary Assembly	7620594	na	10005361	chrSUPER_24	NC_044236.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_25	assembled-molecule	25	Chromosome	CM012107.2	=	NC_044237.2	Primary Assembly	2880192	na	10005361	chrSUPER_25	NC_044237.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_26	assembled-molecule	26	Chromosome	CM012108.2	=	NC_044238.2	Primary Assembly	6804938	na	10005361	chrSUPER_26	NC_044238.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_27	assembled-molecule	27	Chromosome	CM012110.2	=	NC_044239.2	Primary Assembly	5378928	na	10005361	chrSUPER_27	NC_044239.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_28	assembled-molecule	28	Chromosome	CM012112.2	=	NC_044240.2	Primary Assembly	5866305	na	10005361	chrSUPER_28	NC_044240.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_Z	assembled-molecule	Z	Chromosome	CM012113.2	=	NC_044241.2	Primary Assembly	75396176	na	10005361	chrSUPER_Z	NC_044241.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
mat_W	assembled-molecule	W	Chromosome	CM018260.2	=	NC_045028.1	Primary Assembly	20846394	na	10005361	chrmat_W	NC_045028.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_29	assembled-molecule	29	Chromosome	CM012109.2	=	NC_044242.2	Primary Assembly	2636872	na	10005361	chrSUPER_29	NC_044242.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_30	assembled-molecule	30	Chromosome	CM012111.2	=	NC_044243.2	Primary Assembly	2225416	na	10005361	chrSUPER_30	NC_044243.2	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_31	assembled-molecule	31	Chromosome	CM025860.2	=	NC_054763.1	Primary Assembly	1821854	na	10005361	chrSUPER_31	NC_054763.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_32	assembled-molecule	32	Chromosome	CM025861.2	=	NC_054764.1	Primary Assembly	2089234	na	10005361	chrSUPER_32	NC_054764.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_33	assembled-molecule	33	Chromosome	CM025862.2	=	NC_054765.1	Primary Assembly	1248372	na	10005361	chrSUPER_33	NC_054765.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_34	assembled-molecule	34	Chromosome	CM025863.2	=	NC_054766.1	Primary Assembly	1299319	na	10005361	chrSUPER_34	NC_054766.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_35	assembled-molecule	35	Chromosome	CM025864.2	=	NC_054767.1	Primary Assembly	2564177	na	10005361	chrSUPER_35	NC_054767.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_36	assembled-molecule	36	Chromosome	CM025865.2	=	NC_054768.1	Primary Assembly	1020380	na	10005361	chrSUPER_36	NC_054768.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
SUPER_37	assembled-molecule	37	Chromosome	CM030979.1	=	NC_054769.1	Primary Assembly	1798728	na	10005361	chrSUPER_37	NC_054769.1	TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna
chr1	assembled-molecule	1	Chromosome	CM003709.1	=	NC_031768.1	Primary Assembly	114059860	na	2350181	chrchr1	NC_031768.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr2	assembled-molecule	2	Chromosome	CM003710.1	=	NC_031769.1	Primary Assembly	150265477	na	2350181	chrchr2	NC_031769.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr3	assembled-molecule	3	Chromosome	CM003711.1	=	NC_031770.1	Primary Assembly	111636321	na	2350181	chrchr3	NC_031770.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr4	assembled-molecule	4	Chromosome	CM003712.1	=	NC_031771.1	Primary Assembly	68030631	na	2350181	chrchr4	NC_031771.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr4A	assembled-molecule	4A	Chromosome	CM003713.1	=	NC_031772.1	Primary Assembly	19934923	na	2350181	chrchr4A	NC_031772.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr1A	assembled-molecule	1A	Chromosome	CM003714.1	=	NC_031773.1	Primary Assembly	71365269	na	2350181	chrchr1A	NC_031773.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr5	assembled-molecule	5	Chromosome	CM003715.1	=	NC_031774.1	Primary Assembly	61875929	na	2350181	chrchr5	NC_031774.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr6	assembled-molecule	6	Chromosome	CM003716.2	=	NC_031775.1	Primary Assembly	34342011	na	2350181	chrchr6	NC_031775.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr7	assembled-molecule	7	Chromosome	CM003717.2	=	NC_031776.1	Primary Assembly	37653027	na	2350181	chrchr7	NC_031776.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr8	assembled-molecule	8	Chromosome	CM003718.2	=	NC_031777.1	Primary Assembly	31324166	na	2350181	chrchr8	NC_031777.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr9	assembled-molecule	9	Chromosome	CM003719.1	=	NC_031778.1	Primary Assembly	25106277	na	2350181	chrchr9	NC_031778.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr10	assembled-molecule	10	Chromosome	CM003720.1	=	NC_031779.1	Primary Assembly	20202851	na	2350181	chrchr10	NC_031779.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr11	assembled-molecule	11	Chromosome	CM003721.1	=	NC_031780.1	Primary Assembly	20315886	na	2350181	chrchr11	NC_031780.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr12	assembled-molecule	12	Chromosome	CM003722.1	=	NC_031781.1	Primary Assembly	20466350	na	2350181	chrchr12	NC_031781.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr13	assembled-molecule	13	Chromosome	CM003723.1	=	NC_031782.1	Primary Assembly	16480340	na	2350181	chrchr13	NC_031782.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr14	assembled-molecule	14	Chromosome	CM003724.1	=	NC_031783.1	Primary Assembly	16193477	na	2350181	chrchr14	NC_031783.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr15	assembled-molecule	15	Chromosome	CM003725.1	=	NC_031784.1	Primary Assembly	13820886	na	2350181	chrchr15	NC_031784.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr17	assembled-molecule	17	Chromosome	CM003726.1	=	NC_031785.1	Primary Assembly	10486032	na	2350181	chrchr17	NC_031785.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr18	assembled-molecule	18	Chromosome	CM003727.1	=	NC_031786.1	Primary Assembly	11572643	na	2350181	chrchr18	NC_031786.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr19	assembled-molecule	19	Chromosome	CM003728.1	=	NC_031787.1	Primary Assembly	9871655	na	2350181	chrchr19	NC_031787.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr20	assembled-molecule	20	Chromosome	CM003729.1	=	NC_031788.1	Primary Assembly	14661763	na	2350181	chrchr20	NC_031788.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr21	assembled-molecule	21	Chromosome	CM003730.1	=	NC_031789.1	Primary Assembly	7693166	na	2350181	chrchr21	NC_031789.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr22	assembled-molecule	22	Chromosome	CM003731.1	=	NC_031790.1	Primary Assembly	4276343	na	2350181	chrchr22	NC_031790.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr23	assembled-molecule	23	Chromosome	CM003732.1	=	NC_031791.1	Primary Assembly	6655392	na	2350181	chrchr23	NC_031791.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr24	assembled-molecule	24	Chromosome	CM003733.1	=	NC_031792.1	Primary Assembly	6808513	na	2350181	chrchr24	NC_031792.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr25LG1	assembled-molecule	25LG1	Chromosome	CM003734.1	=	NC_031793.1	Primary Assembly	1092960	na	2350181	chrchr25LG1	NC_031793.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr25LG2	assembled-molecule	25LG2	Chromosome	CM003735.1	=	NC_031794.1	Primary Assembly	809223	na	2350181	chrchr25LG2	NC_031794.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr26	assembled-molecule	26	Chromosome	CM003736.1	=	NC_031795.1	Primary Assembly	6596997	na	2350181	chrchr26	NC_031795.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr27	assembled-molecule	27	Chromosome	CM003737.1	=	NC_031796.1	Primary Assembly	4327975	na	2350181	chrchr27	NC_031796.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr28	assembled-molecule	28	Chromosome	CM003738.1	=	NC_031797.1	Primary Assembly	5101010	na	2350181	chrchr28	NC_031797.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chrLGE22	assembled-molecule	LGE22	Linkage Group	CM003739.1	=	NC_031798.1	Primary Assembly	773534	na	2350181	chrchrLGE22	NC_031798.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chrZ	assembled-molecule	Z	Chromosome	CM003740.1	=	NC_031799.1	Primary Assembly	74514349	na	2350181	chrchrZ	NC_031799.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
Scaffold101	unplaced-scaffold	na	na	KQ954623.1	=	NW_015379261.1	Primary Assembly	2566323	na	2350181	chrScaffold101	NW_015379261.1	PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna
chr1	assembled-molecule	1	Chromosome	CM030802.1	<>	na	Primary Assembly	219006665	na	9931631	chrchr1	CM030802.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr2	assembled-molecule	2	Chromosome	CM030803.1	<>	na	Primary Assembly	168214289	na	9931631	chrchr2	CM030803.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr3	assembled-molecule	3	Chromosome	CM030804.1	<>	na	Primary Assembly	128157954	na	9931631	chrchr3	CM030804.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr4	assembled-molecule	4	Chromosome	CM030805.1	<>	na	Primary Assembly	85534282	na	9931631	chrchr4	CM030805.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr5	assembled-molecule	5	Chromosome	CM030806.1	<>	na	Primary Assembly	72274610	na	9931631	chrchr5	CM030806.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr6	assembled-molecule	6	Chromosome	CM030807.1	<>	na	Primary Assembly	41967909	na	9931631	chrchr6	CM030807.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr7	assembled-molecule	7	Chromosome	CM030808.1	<>	na	Primary Assembly	45031024	na	9931631	chrchr7	CM030808.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr8	assembled-molecule	8	Chromosome	CM030809.1	<>	na	Primary Assembly	37084468	na	9931631	chrchr8	CM030809.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr9	assembled-molecule	9	Chromosome	CM030810.1	<>	na	Primary Assembly	25103790	na	9931631	chrchr9	CM030810.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr10	assembled-molecule	10	Chromosome	CM030811.1	<>	na	Primary Assembly	30177210	na	9931631	chrchr10	CM030811.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr11	assembled-molecule	11	Chromosome	CM030812.1	<>	na	Primary Assembly	24679327	na	9931631	chrchr11	CM030812.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr12	assembled-molecule	12	Chromosome	CM030813.1	<>	na	Primary Assembly	23808727	na	9931631	chrchr12	CM030813.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr13	assembled-molecule	13	Chromosome	CM030814.1	<>	na	Primary Assembly	24950057	na	9931631	chrchr13	CM030814.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
chr14	assembled-molecule	14	Chromosome	CM030815.1	<>	na	Primary Assembly	22119428	na	9931631	chrchr14	CM030815.1	GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna
