speciescode	genomefa	seqid	chrname	seqlength	chrtype	krank	krank2
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044216.2	chr4A	19491698	macro	5	5
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044217.2	chr5	61663524	macro	7	7
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044218.2	chr6	35592820	macro	8	8
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044219.2	chr7	37979234	macro	9	9
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044220.2	chr8	31251066	macro	10	10
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044221.2	chr9	25529500	micro	13	13
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044222.2	chr10	20543327	micro	15	15
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044223.2	chr11	21108237	micro	14	14
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044224.2	chr12	20384687	micro	16	16
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044225.2	chr13	18052104	micro	17	17
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044226.2	chr14	16340488	micro	18	18
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044227.2	chr15	13771869	micro	20	20
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044228.2	chr16	1095113	micro	40	40
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044229.2	chr17	11257394	micro	21	21
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044230.2	chr18	11152170	micro	22	22
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044231.2	chr19	8335140	micro	23	23
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044232.2	chr20	14749488	micro	19	19
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044233.2	chr21	7924511	micro	24	24
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044234.2	chr22	4608043	micro	30	30
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044235.2	chr23	6804446	micro	27	27
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044236.2	chr24	7620594	micro	25	25
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044237.2	chr25	2880192	micro	31	31
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044238.2	chr26	6804938	micro	26	26
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044239.2	chr27	5378928	micro	29	29
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044240.2	chr28	5866305	micro	28	28
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044241.2	chrZ	75396176	chrZ	11	11
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_045028.1	chrW	20846394	chrW	12	12
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044242.2	chr29	2636872	micro	32	32
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_044243.2	chr30	2225416	micro	34	34
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054763.1	chr31	1821854	micro	36	36
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054764.1	chr32	2089234	micro	35	35
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054765.1	chr33	1248372	micro	39	39
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054766.1	chr34	1299319	micro	38	38
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054767.1	chr35	2564177	micro	33	33
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054768.1	chr36	1020380	micro	41	41
TAEGU	GCF_003957565.2_bTaeGut1.4.pri_genomic.fna	NC_054769.1	chr37	1798728	micro	37	37
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031773.1	chr1A	71365269	macro	1	1
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031768.1	chr1	114059860	macro	2	2
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031769.1	chr2	150265477	macro	3	3
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031770.1	chr3	111636321	macro	4	4
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031772.1	chr4A	19934923	macro	5	5
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031771.1	chr4	68030631	macro	6	6
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031774.1	chr5	61875929	macro	7	7
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031775.1	chr6	34342011	macro	8	8
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031776.1	chr7	37653027	macro	9	9
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031777.1	chr8	31324166	macro	10	10
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031799.1	chrZ	74514349	chrZ	11	11
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031778.1	chr9	25106277	micro	12	12
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031781.1	chr12	20466350	micro	13	13
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031780.1	chr11	20315886	micro	14	14
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031779.1	chr10	20202851	micro	15	15
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031782.1	chr13	16480340	micro	16	16
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031783.1	chr14	16193477	micro	17	17
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031788.1	chr20	14661763	micro	18	18
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031784.1	chr15	13820886	micro	19	19
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031786.1	chr18	11572643	micro	20	20
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031785.1	chr17	10486032	micro	21	21
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031787.1	chr19	9871655	micro	22	22
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031789.1	chr21	7693166	micro	23	23
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031792.1	chr24	6808513	micro	24	24
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031791.1	chr23	6655392	micro	25	25
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031795.1	chr26	6596997	micro	26	26
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031797.1	chr28	5101010	micro	27	27
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031796.1	chr27	4327975	micro	28	28
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031790.1	chr22	4276343	micro	29	29
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031793.1	chr25LG1	1092960	micro	30	30
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031794.1	chr25LG2	809223	micro	31	31
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NC_031798.1	chrLGE22	773534	micro	32	32
PARMJ	GCF_001522545.3_Parus_major1.1_genomic.fna	NW_015379261.1	Scaf101	2566323	micro	33	33
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030802.1	chr1	219006665	macro	1	1
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030823.1	chr22	8298522	micro	2	2
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030822.1	chr21	9638944	micro	3	3
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030803.1	chr2	168214289	macro	4	4
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030825.1	chr24	6129311	micro	5	5
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030816.1	chr15	19636776	micro	6	6
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030814.1	chr13	24950057	micro	7	7
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030804.1	chr3	128157954	macro	8	8
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030819.1	chr18	13056196	micro	9	9
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030807.1	chr6	41967909	macro	10	10
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030812.1	chr11	24679327	micro	11	11
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030806.1	chr5	72274610	macro	12	12
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030815.1	chr14	22119428	micro	13	13
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030808.1	chr7	45031024	macro	14	14
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030805.1	chr4	85534282	macro	15	15
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030817.1	chr16	17146250	micro	16	16
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030821.1	chr20	13139568	micro	17	17
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030820.1	chr19	14292917	micro	18	18
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030831.1	chrZ	85346818	chrZ	19	19
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030818.1	chr17	17757371	micro	20	20
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030809.1	chr8	37084468	macro	21	21
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030811.1	chr10	30177210	micro	22	22
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030810.1	chr9	25103790	micro	23	23
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030813.1	chr12	23808727	micro	24	24
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030826.1	chr25	7973488	micro	25	25
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030828.1	chr27	7639930	micro	26	26
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030829.1	chr28	7839570	micro	27	27
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030824.1	chr23	5869166	micro	28	28
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030830.1	chr29	2937316	micro	29	29
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	CM030827.1	chr26	3191501	micro	30	30
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	JAGKTE010000031.1	Scaf31	2103509	micro	31	31
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	JAGKTE010000032.1	Scaf32	1971263	micro	32	32
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	JAGKTE010000033.1	Scaf33	1628504	micro	33	33
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	JAGKTE010000034.1	Scaf34	1587956	micro	34	34
GYMCA	GCA_018139145.1_ASM1813914v1_genomic.fna	JAGKTE010000035.1	Scaf35	1112426	micro	35	35
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044010.1	chr7	47779391	macro	1	4
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044020.1	chr17	29699254	micro	2	5
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044029.1	chr26	17717355	micro	3	6
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044026.1	chr23	21012167	micro	4	3
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044017.1	chr14	34337559	micro	5	2
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044022.1	chr19	27976474	micro	6	1
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044007.1	chr4	77266225	macro	7	9
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044021.1	chr18	28555659	micro	8	7
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044006.1	chr3	79382107	macro	9	8
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044028.1	chr25	19844373	micro	10	10
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044018.1	chr15	30976502	micro	11	18
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044005.1	chr2	83001952	macro	12	11
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044014.1	chr11	43755789	macro	13	23
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044008.1	chr5	76621501	macro	14	12
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044019.1	chr16	30610376	micro	15	13
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044025.1	chr22	22514005	micro	16	14
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044009.1	chr6	54402963	macro	17	15
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044004.1	chr1	85456622	macro	18	16
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044016.1	chr13	41790845	macro	19	17
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044027.1	chr24	20993271	micro	20	19
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044023.1	chr20	25309643	micro	21	20
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044030.1	chrZ	88216475	chrZ	22	21
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_054457.1	chrW	11729522	chrW	23	22
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NW_024470321.1	chrW1	6364479	chrW	24	31
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NW_024470322.1	chrW2	5935341	chrW	25	32
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NW_024470323.1	chrW3	4230054	chrW	26	30
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NW_024470324.1	chrW4	1990763	chrW	27	33
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NW_024470325.1	chrW5	1231163	chrW	28	29
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044015.1	chr12	43481500	macro	29	24
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044012.1	chr9	45241448	macro	30	25
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044011.1	chr8	46934974	macro	31	26
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044013.1	chr10	43949808	macro	32	27
AQUCH	GCF_900496995.4_bAquChr1.4_genomic.fna	NC_044024.1	chr21	24756580	micro	33	28
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047531.1	chr5	87083378	macro	1	1
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047528.1	chr2	121023092	macro	2	2
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047527.1	chr1	155071706	macro	3	3
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047529.1	chr3	118160750	macro	4	4
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047530.1	chr4	112750338	macro	5	5
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047532.1	chr6	86477950	macro	6	6
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047533.1	chr7	73268660	macro	7	7
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047534.1	chr8	57497735	macro	8	8
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047557.1	chrZ	104092594	chrZ	9	9
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047558.1	chrW	4022347	chrW	10	10
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047535.1	chr9	45297783	micro	11	11
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047536.1	chr10	35277360	micro	12	12
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047537.1	chr11	24154513	micro	13	13
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047538.1	chr12	23105471	micro	14	14
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047539.1	chr13	12147643	micro	15	15
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047540.1	chr14	6967098	micro	16	16
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047541.1	chr15	6662068	micro	17	17
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047542.1	chr16	6113794	micro	18	18
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047543.1	chr17	5218183	micro	19	19
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047544.1	chr18	5029921	micro	20	20
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047545.1	chr19	4922880	micro	21	21
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047547.1	chr21	2555005	micro	22	22
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047546.1	chr20	2055740	micro	23	23
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047548.1	chr22	1817768	micro	24	24
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047549.1	chr23	1430276	micro	25	25
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047550.1	chr24	1018390	micro	26	26
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047553.1	chr27	936804	micro	27	27
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047552.1	chr26	867402	micro	28	28
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047556.1	chr30	613772	micro	29	29
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047551.1	chr25	425885	micro	30	30
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047555.1	chr29	368675	micro	31	31
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NC_047554.1	chr28	352337	micro	32	32
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NW_022993942.1	chrW_1	3620516	chrW	33	33
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NW_022993944.1	chrW_2	3027513	chrW	34	34
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NW_022993945.1	chrW_3	2219833	chrW	35	35
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NW_022993946.1	chrW_4	1932255	chrW	36	36
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NW_022993947.1	chrW_5	1171771	chrW	37	37
MELUD	GCF_012275295.1_bMelUnd1.mat.Z_genomic.fna	NW_022993948.1	chrW_6	1073181	chrW	38	38
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839380.1	chr19	28745018	macro	1	1
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839374.1	chr13	35025567	macro	2	2
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839392.1	chr31	21271502	macro	3	3
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839393.1	chr32	21169547	macro	4	4
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839382.1	chr21	27960081	macro	5	5
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839379.1	chr18	29659553	macro	6	6
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839395.1	chr34	17587634	macro	7	7
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839381.1	chr20	28026665	macro	8	8
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839372.1	chr11	37569235	macro	9	9
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839361.1	chr1	55805604	macro	10	10
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839362.1	chr2	55413727	macro	11	11
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839388.1	chr27	22464520	macro	12	12
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839363.1	chr3	49239837	macro	13	13
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839364.1	chr4	48363854	macro	14	14
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839394.1	chr33	21076603	macro	15	15
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839384.1	chr23	25482632	macro	16	16
ACCGE	GCA_929443795.1_bAccGen1.1_genomic.fna	OV839391.1	chr30	21432086	macro	17	17
